"Footprint pattern","Correction"
"^SOT-223",180
"^SOT-23",180
"^SOT-353",180
"^QFN-",270
"^LQFP-",270
"^TQFP-",270
"^SOP-(?!18_)",270
"^TSSOP-",270
"^DFN-",270
"^SOIC-",270
"^SOP-18_",0
"^VSSOP-10_",270
"^CP_EIA-3216-18_",180
"^CP_EIA-3528-21_",180
"^CP_Elec_8x10.5",180
"^CP_Elec_6.3x7.7",180
"^CP_Elec_8x6.7",180
"^(.*?_|V)?QFN-(16|20|24|28|40)(-|_|$)",270
"^SOT-323_SC-70",180
"^SOT-89-3-v4",90
"^SSOP-28_5.3x10.2mm_P0.65mm",-90
"^sc70-GSD",-90
"^CP_EIA-7343-31_Kemet-D",180
"^Texas_HTSOP-(?!18_)",270